substance_name,small_molecule_retrieved,inorganic_retrieved,polymer_retrieved
methyl iodide,1,0,0
"poly-(4-[2,2;5,2]terthiophene-3-yl-pyridine-co-3-hexylthiophene)",0,0,1
oxygen,1,0,0
argon,1,0,0
methyl iodide,1,0,0
"poly-(4-[2,2;5,2]terthiophene-3-yl-pyridine-co-3-hexylthiophene)",0,0,1
oxygen,1,0,0
argon,1,0,0
methyl iodide,1,0,0
"poly-(4-[2,2;5,2]terthiophene-3-yl-pyridine-co-3-hexylthiophene)",0,0,1
oxygen,1,0,0
argon,1,0,0
methyl iodide,1,0,0
"poly-(4-[2,2;5,2]terthiophene-3-yl-pyridine-co-3-hexylthiophene)",0,0,1
oxygen,1,0,0
argon,1,0,0
methyl iodide,1,0,0
"poly-(4-[2,2;5,2]terthiophene-3-yl-pyridine-co-3-hexylthiophene)",0,0,1
oxygen,1,0,0
argon,1,0,0
methyl iodide,1,0,0
"poly-(4-[2,2;5,2]terthiophene-3-yl-pyridine-co-3-hexylthiophene)",0,0,1
oxygen,1,0,0
nitrogen,1,0,0
methyl iodide,1,0,0
"poly-(4-[2,2;5,2]terthiophene-3-yl-pyridine-co-3-hexylthiophene)",0,0,1
oxygen,1,0,0
nitrogen,1,0,0
methyl iodide,1,0,0
"poly-(4-[2,2;5,2]terthiophene-3-yl-pyridine-co-3-hexylthiophene)",0,0,1
oxygen,1,0,0
nitrogen,1,0,0
methyl iodide,1,0,0
"poly-(4-[2,2;5,2]terthiophene-3-yl-pyridine-co-3-hexylthiophene)",0,0,1
oxygen,1,0,0
nitrogen,1,0,0
methyl iodide,1,0,0
"poly-(4-[2,2;5,2]terthiophene-3-yl-pyridine-co-3-hexylthiophene)",0,0,1
oxygen,1,0,0
nitrogen,1,0,0
h+,1,0,0
polyisobutylmethacrylate,0,0,1
water,1,0,0
h+,1,0,0
polyisobutylmethacrylate,0,0,1
water,1,0,0
h+,1,0,0
polyisobutylmethacrylate,0,0,1
water,1,0,0
h+,1,0,0
polyisobutylmethacrylate,0,0,1
water,1,0,0
h+,1,0,0
polyisobutylmethacrylate,0,0,1
water,1,0,0
nitrogen dioxide,1,0,0
zinc oxide,1,1,0
oxygen,1,0,0
argon,1,0,0
nitrogen dioxide,1,0,0
zinc oxide,1,1,0
oxygen,1,0,0
argon,1,0,0
nitrogen dioxide,1,0,0
zinc oxide,1,1,0
oxygen,1,0,0
argon,1,0,0
nitrogen dioxide,1,0,0
zinc oxide,1,1,0
oxygen,1,0,0
argon,1,0,0
nitrogen dioxide,1,0,0
zinc oxide,1,1,0
oxygen,1,0,0
argon,1,0,0
nitrogen dioxide,1,0,0
zinc oxide,1,1,0
oxygen,1,0,0
nitrogen,1,0,0
nitrogen dioxide,1,0,0
zinc oxide,1,1,0
oxygen,1,0,0
nitrogen,1,0,0
nitrogen dioxide,1,0,0
zinc oxide,1,1,0
oxygen,1,0,0
nitrogen,1,0,0
nitrogen dioxide,1,0,0
zinc oxide,1,1,0
oxygen,1,0,0
nitrogen,1,0,0
nitrogen dioxide,1,0,0
zinc oxide,1,1,0
oxygen,1,0,0
nitrogen,1,0,0
oxygen,1,0,0
nitrogen,1,0,0
carbon nanotube,1,1,0
argon,1,0,0
oxygen,1,0,0
nitrogen,1,0,0
carbon nanotube,1,1,0
argon,1,0,0
oxygen,1,0,0
nitrogen,1,0,0
carbon nanotube,1,1,0
argon,1,0,0
oxygen,1,0,0
nitrogen,1,0,0
carbon nanotube,1,1,0
argon,1,0,0
oxygen,1,0,0
nitrogen,1,0,0
carbon nanotube,1,1,0
argon,1,0,0
ammonia,1,0,0
naphthalene tetracarboxylic diimide,1,0,0
oxygen,1,0,0
argon,1,0,0
ammonia,1,0,0
naphthalene tetracarboxylic diimide,1,0,0
oxygen,1,0,0
argon,1,0,0
ammonia,1,0,0
naphthalene tetracarboxylic diimide,1,0,0
oxygen,1,0,0
argon,1,0,0
ammonia,1,0,0
naphthalene tetracarboxylic diimide,1,0,0
oxygen,1,0,0
argon,1,0,0
ammonia,1,0,0
naphthalene tetracarboxylic diimide,1,0,0
oxygen,1,0,0
argon,1,0,0
ammonia,1,0,0
naphthalene tetracarboxylic diimide,1,0,0
oxygen,1,0,0
nitrogen,1,0,0
ammonia,1,0,0
naphthalene tetracarboxylic diimide,1,0,0
oxygen,1,0,0
nitrogen,1,0,0
ammonia,1,0,0
naphthalene tetracarboxylic diimide,1,0,0
oxygen,1,0,0
nitrogen,1,0,0
ammonia,1,0,0
naphthalene tetracarboxylic diimide,1,0,0
oxygen,1,0,0
nitrogen,1,0,0
ammonia,1,0,0
naphthalene tetracarboxylic diimide,1,0,0
oxygen,1,0,0
nitrogen,1,0,0
diethyl chlorophosphate,1,0,0
"2,1,3-benzothiadiazole",1,0,0
tetrathiafulvalene,1,0,0
oxygen,1,0,0
argon,1,0,0
diethyl chlorophosphate,1,0,0
"2,1,3-benzothiadiazole",1,0,0
tetrathiafulvalene,1,0,0
oxygen,1,0,0
argon,1,0,0
diethyl chlorophosphate,1,0,0
"2,1,3-benzothiadiazole",1,0,0
tetrathiafulvalene,1,0,0
oxygen,1,0,0
argon,1,0,0
diethyl chlorophosphate,1,0,0
"2,1,3-benzothiadiazole",1,0,0
tetrathiafulvalene,1,0,0
oxygen,1,0,0
argon,1,0,0
diethyl chlorophosphate,1,0,0
"2,1,3-benzothiadiazole",1,0,0
tetrathiafulvalene,1,0,0
oxygen,1,0,0
argon,1,0,0
diethyl chlorophosphate,1,0,0
"2,1,3-benzothiadiazole",1,0,0
tetrathiafulvalene,1,0,0
oxygen,1,0,0
nitrogen,1,0,0
diethyl chlorophosphate,1,0,0
"2,1,3-benzothiadiazole",1,0,0
tetrathiafulvalene,1,0,0
oxygen,1,0,0
nitrogen,1,0,0
diethyl chlorophosphate,1,0,0
"2,1,3-benzothiadiazole",1,0,0
tetrathiafulvalene,1,0,0
oxygen,1,0,0
nitrogen,1,0,0
diethyl chlorophosphate,1,0,0
"2,1,3-benzothiadiazole",1,0,0
tetrathiafulvalene,1,0,0
oxygen,1,0,0
nitrogen,1,0,0
diethyl chlorophosphate,1,0,0
"2,1,3-benzothiadiazole",1,0,0
tetrathiafulvalene,1,0,0
oxygen,1,0,0
nitrogen,1,0,0
water,1,0,0
"n,n'-dimethyl-1,4,5,8-naphthalenetetracarboxylic diimide",1,0,0
oxygen,1,0,0
argon,1,0,0
water,1,0,0
"n,n'-dimethyl-1,4,5,8-naphthalenetetracarboxylic diimide",1,0,0
oxygen,1,0,0
argon,1,0,0
water,1,0,0
"n,n'-dimethyl-1,4,5,8-naphthalenetetracarboxylic diimide",1,0,0
oxygen,1,0,0
argon,1,0,0
water,1,0,0
"n,n'-dimethyl-1,4,5,8-naphthalenetetracarboxylic diimide",1,0,0
oxygen,1,0,0
argon,1,0,0
water,1,0,0
"n,n'-dimethyl-1,4,5,8-naphthalenetetracarboxylic diimide",1,0,0
oxygen,1,0,0
argon,1,0,0
water,1,0,0
"n,n'-dimethyl-1,4,5,8-naphthalenetetracarboxylic diimide",1,0,0
oxygen,1,0,0
nitrogen,1,0,0
water,1,0,0
"n,n'-dimethyl-1,4,5,8-naphthalenetetracarboxylic diimide",1,0,0
oxygen,1,0,0
nitrogen,1,0,0
water,1,0,0
"n,n'-dimethyl-1,4,5,8-naphthalenetetracarboxylic diimide",1,0,0
oxygen,1,0,0
nitrogen,1,0,0
water,1,0,0
"n,n'-dimethyl-1,4,5,8-naphthalenetetracarboxylic diimide",1,0,0
oxygen,1,0,0
nitrogen,1,0,0
water,1,0,0
"n,n'-dimethyl-1,4,5,8-naphthalenetetracarboxylic diimide",1,0,0
oxygen,1,0,0
nitrogen,1,0,0
ammonia,1,0,0
poly(3-hexylthiophene),0,0,1
oxygen,1,0,0
argon,1,0,0
ammonia,1,0,0
poly(3-hexylthiophene),0,0,1
oxygen,1,0,0
argon,1,0,0
ammonia,1,0,0
poly(3-hexylthiophene),0,0,1
oxygen,1,0,0
argon,1,0,0
ammonia,1,0,0
poly(3-hexylthiophene),0,0,1
oxygen,1,0,0
argon,1,0,0
ammonia,1,0,0
poly(3-hexylthiophene),0,0,1
oxygen,1,0,0
argon,1,0,0
ammonia,1,0,0
poly(3-hexylthiophene),0,0,1
oxygen,1,0,0
nitrogen,1,0,0
ammonia,1,0,0
poly(3-hexylthiophene),0,0,1
oxygen,1,0,0
nitrogen,1,0,0
ammonia,1,0,0
poly(3-hexylthiophene),0,0,1
oxygen,1,0,0
nitrogen,1,0,0
ammonia,1,0,0
poly(3-hexylthiophene),0,0,1
oxygen,1,0,0
nitrogen,1,0,0
ammonia,1,0,0
poly(3-hexylthiophene),0,0,1
oxygen,1,0,0
nitrogen,1,0,0
acetylcholine,1,0,0
perhydroxycucurbit[6]uril,1,0,0
water,1,0,0
acetylcholine,1,0,0
perhydroxycucurbit[6]uril,1,0,0
water,1,0,0
acetylcholine,1,0,0
perhydroxycucurbit[6]uril,1,0,0
water,1,0,0
acetylcholine,1,0,0
perhydroxycucurbit[6]uril,1,0,0
water,1,0,0
acetylcholine,1,0,0
perhydroxycucurbit[6]uril,1,0,0
water,1,0,0
acetylcholine,1,0,0
perhydroxycucurbit[6]uril,1,0,0
water,1,0,0
acetylcholine,1,0,0
perhydroxycucurbit[6]uril,1,0,0
water,1,0,0
acetylcholine,1,0,0
perhydroxycucurbit[6]uril,1,0,0
water,1,0,0
acetylcholine,1,0,0
perhydroxycucurbit[6]uril,1,0,0
water,1,0,0
ammonia,1,0,0
bromophenol blue,1,0,0
oxygen,1,0,0
argon,1,0,0
ammonia,1,0,0
bromophenol blue,1,0,0
oxygen,1,0,0
argon,1,0,0
ammonia,1,0,0
bromophenol blue,1,0,0
oxygen,1,0,0
argon,1,0,0
ammonia,1,0,0
bromophenol blue,1,0,0
oxygen,1,0,0
argon,1,0,0
ammonia,1,0,0
bromophenol blue,1,0,0
oxygen,1,0,0
argon,1,0,0
ammonia,1,0,0
bromophenol blue,1,0,0
oxygen,1,0,0
nitrogen,1,0,0
ammonia,1,0,0
bromophenol blue,1,0,0
oxygen,1,0,0
